"Resultados de pesquisa Flora-On";"3503 taxa"
"Data de consulta:";"18/02/2025"
"Território:";"Portugal Continental"
"Citação:";". 2025. Todas as espécies existentes em Portugal Continental - elenco florístico. Flora-On: Flora de Portugal interactiva. Sociedade Portuguesa de Botânica.";"Recurso em http://www.flora-on.pt/#1todas.";"Acedido em 18/02/2025"
"Por favor cite o Flora-On sempre que usar os dados"
"Link para esta pesquisa:";"https://flora-on.pt/#1todas"

"Pesquisa realizada:";"Todas as espécies existentes em Portugal Continental"
"Colaboradores que forneceram dados:";""

"Taxa correspondentes à pesquisa"
"Família";"Taxon";"Grau de endemismo";"Naturalidade";"Anexos DL 49/2005";"Categoria IUCN de risco de extinção";"Tipo biológico";"Nº de quadrículas";"Observadores na área"
"Apiaceae";"Bupleurum fruticosum";"Autóctone";"";"";"";"Fanerófito";47;""
"Apiaceae";"Bupleurum gerardi";"Autóctone";"";"";"";"Terófito";39;""
"Apiaceae";"Bupleurum lancifolium";"Autóctone";"";"";"NT";"Terófito";47;""
"Apiaceae";"Bupleurum rigidum subsp. paniculatum";"Autóctone";"";"";"";"Hemicriptófito";90;""
"Apiaceae";"Bupleurum rigidum subsp. rigidum";"Autóctone";"";"";"";"Hemicriptófito";5;""
"Apiaceae";"Bupleurum rigidum";"";"";"";"";"Hemicriptófito";121;""
"Apiaceae";"Bupleurum rotundifolium";"Autóctone";"";"";"RE";"Terófito";0;""
"Apiaceae";"Bupleurum semicompositum";"Autóctone";"";"";"NT";"Terófito";9;""
"Apiaceae";"Bupleurum tenuissimum";"Autóctone";"";"";"";"Terófito";10;""
"Apiaceae";"Cachrys libanotis";"Autóctone";"";"";"";"Hemicriptófito";10;""
"Apiaceae";"Cachrys sicula";"Autóctone";"";"";"";"Hemicriptófito";53;""
"Apiaceae";"Caropsis verticillato-inundata";"Autóctone";"";"Anexo II,Anexo IV";"VU";"Hemicriptófito";12;""
"Apiaceae";"Carum verticillatum";"Autóctone";"";"";"";"Hemicriptófito";176;""
"Apiaceae";"Caucalis platycarpos";"Autóctone";"";"";"";"Terófito";0;""
"Apiaceae";"Chaerophyllum temulum";"Autóctone";"";"";"";"Hemicriptófito";165;""
"Apiaceae";"Conium maculatum";"Autóctone";"";"";"";"Terófito,Hemicriptófito";139;""
"Apiaceae";"Conopodium majus subsp. marizianum";"Autóctone";"Endémica da Península Ibérica";"";"";"Geófito";178;""
"Apiaceae";"Conopodium marianum";"Autóctone";"";"";"";"Hemicriptófito";29;""
"Apiaceae";"Conopodium pyrenaeum";"Autóctone";"";"";"";"Hemicriptófito";11;""
"Apiaceae";"Conopodium subcarneum";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";27;""
"Apiaceae";"Conopodium thalictrifolium";"Autóctone";"";"";"";"Geófito";6;""
"Apiaceae";"Crithmum maritimum";"Autóctone";"";"";"";"Hemicriptófito";77;""
"Apiaceae";"Cyclospermum leptophyllum";"Introduzida";"Exótica";"";"";"Terófito";12;""
"Apiaceae";"Daucus arcanus";"Autóctone";"Endémica da Península Ibérica";"";"EN";"Terófito";1;""
"Apiaceae";"Daucus carota subsp. halophilus";"Endémica";"Endémica de Portugal continental";"";"NT";"Hemicriptófito";19;""
"Apiaceae";"Daucus carota subsp. carota";"Autóctone";"";"";"";"Hemicriptófito";403;""
"Apiaceae";"Daucus carota";"";"";"";"";"Hemicriptófito";777;""
"Apiaceae";"Daucus carota subsp. gummifer";"Autóctone";"";"";"";"Hemicriptófito";10;""
"Apiaceae";"Daucus carota subsp. maximus";"Autóctone";"";"";"";"Hemicriptófito";71;""
"Apiaceae";"Daucus crinitus";"Autóctone";"";"";"";"Hemicriptófito";146;""
"Apiaceae";"Daucus durieua";"Autóctone";"";"";"";"Terófito";37;""
"Apiaceae";"Daucus muricatus";"Autóctone";"";"";"";"Terófito";118;""
"Apiaceae";"Daucus setifolius";"Autóctone";"";"";"";"Hemicriptófito";29;""
"Apiaceae";"Distichoselinum tenuifolium";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";26;""
"Apiaceae";"Elaeoselinum foetidum";"Autóctone";"";"";"";"Hemicriptófito";90;""
"Apiaceae";"Eryngium aquifolium";"Autóctone";"";"";"CR";"Hemicriptófito";1;""
"Apiaceae";"Eryngium campestre";"Autóctone";"";"";"";"Hemicriptófito";348;""
"Apiaceae";"Eryngium corniculatum";"Autóctone";"";"";"";"Hemicriptófito";52;""
"Apiaceae";"Eryngium dilatatum";"Autóctone";"";"";"";"Hemicriptófito";127;""
"Apiaceae";"Eryngium duriaei";"Autóctone";"Endémica da Península Ibérica";"";"LC";"Hemicriptófito";20;""
"Apiaceae";"Eryngium galioides";"Autóctone";"Endémica da Península Ibérica";"";"VU";"Terófito";23;""
"Apiaceae";"Eryngium maritimum";"Autóctone";"";"";"";"Hemicriptófito";79;""
"Apiaceae";"Eryngium pandanifolium";"Introduzida";"Exótica";"";"";"Hemicriptófito";14;""
"Apiaceae";"Eryngium tenue";"Autóctone";"";"";"";"Terófito";128;""
"Apiaceae";"Eryngium viviparum";"Autóctone";"";"Prioritária,Anexo IV";"CR";"Hemicriptófito";1;""
"Apiaceae";"Ferula communis subsp. catalaunica";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";199;""
"Apiaceae";"Ferula tingitana";"Autóctone";"";"";"";"Hemicriptófito";2;""
"Apiaceae";"Ferulago brachyloba";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";1;""
"Apiaceae";"Ferulago capillaris";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";15;""
"Apiaceae";"Foeniculum sanguineum";"Autóctone";"";"";"";"Hemicriptófito";36;""
"Apiaceae";"Foeniculum vulgare";"Autóctone";"";"";"";"Hemicriptófito";614;""
"Apiaceae";"Heracleum sphondylium subsp. granatense";"Autóctone";"";"";"";"Hemicriptófito";7;""
"Apiaceae";"Heracleum sphondylium subsp. sphondylium";"Autóctone";"";"";"";"Hemicriptófito";23;""
"Apiaceae";"Heracleum sphondylium";"";"";"";"";"Hemicriptófito";218;""
"Apiaceae";"Hydrocotyle bonariensis";"Introduzida";"Exótica";"";"";"Hemicriptófito";23;""
"Apiaceae";"Hydrocotyle vulgaris";"Autóctone";"";"";"";"Helófito";79;""
"Apiaceae";"Krubera peregrina";"Autóctone";"";"";"";"Terófito";1;""
"Apiaceae";"Kundmannia sicula";"Autóctone";"";"";"CR";"Hemicriptófito";2;""
"Apiaceae";"Lagoecia cuminoides";"Autóctone";"";"";"NT";"Terófito";5;""
"Apiaceae";"Laserpitium eliasii subsp. thalictrifolium";"Autóctone";"Endémica da Península Ibérica";"";"";"Hemicriptófito";12;""
"Apiaceae";"Laserpitium prutenicum subsp. dufourianum";"Autóctone";"";"";"";"Hemicriptófito";10;""
"Apiaceae";"Lilaeopsis carolinensis";"Introduzida";"Exótica";"";"";"";2;""
"Apiaceae";"Magydaris panacifolia";"Autóctone";"";"";"";"Hemicriptófito";91;""
"Apiaceae";"Margotia gummifera";"Autóctone";"";"";"";"Hemicriptófito";163;""
"Apiaceae";"Myrrhoides nodosa";"Autóctone";"";"";"";"Terófito";14;""
"Apiaceae";"Oenanthe crocata";"Autóctone";"";"";"";"Geófito";591;""
"Apiaceae";"Oenanthe fistulosa";"Autóctone";"";"";"NT";"Helófito";12;""
"Apiaceae";"Oenanthe globulosa";"Autóctone";"";"";"VU";"Helófito";7;""
"Apiaceae";"Oenanthe lachenalii";"Autóctone";"";"";"";"Hemicriptófito";17;""
"Apiaceae";"Oenanthe pimpinelloides";"Autóctone";"";"";"";"Hemicriptófito";24;""
"Apiaceae";"Oenanthe silaifolia";"Autóctone";"";"";"";"Hemicriptófito";3;""
"Apiaceae";"Orlaya daucoides";"Autóctone";"";"";"";"Terófito";23;""
"Apiaceae";"Pastinaca sativa subsp. sylvestris";"Autóctone";"";"";"CR";"Hemicriptófito";1;""
"Apiaceae";"Petroselinum crispum";"Introduzida";"Exótica";"";"";"Hemicriptófito";7;""
"Apiaceae";"Petroselinum segetum";"Autóctone";"";"";"";"Terófito";31;""
"Apiaceae";"Peucedanum carvifolia";"Autóctone";"";"";"EN";"Hemicriptófito";1;""
"Apiaceae";"Peucedanum gallicum";"Autóctone";"";"";"";"Hemicriptófito";30;""
"Apiaceae";"Peucedanum lancifolium";"Autóctone";"";"";"";"Hemicriptófito";118;""
"Apiaceae";"Peucedanum officinale subsp. officinale";"Autóctone";"";"";"NT";"Hemicriptófito";11;""
"Apiaceae";"Peucedanum oreoselinum";"Autóctone";"";"";"VU";"Hemicriptófito";4;""
"Apiaceae";"Physospermum cornubiense";"Autóctone";"";"";"";"Hemicriptófito";88;""
"Apiaceae";"Pimpinella major";"Autóctone";"";"";"";"Hemicriptófito";7;""
